lwr	upr	Winsize
0.0291046081651035	0.0603952026277817	5
0.0218508643360346	0.0413508665562898	6
0.0172688083413607	0.0296152845723226	7
0.0129906479381293	0.023600759290539	8
0.0123247668007289	0.0186038276396768	9
0.0111067372413118	0.0146168140956615	10
0.0099640562408037	0.0136691521714388	11
0.00671771784415318	0.0123118893880312	12
0.0028744308578987	0.011722196180195	13
0.00162969929449442	0.0105808650830351	14
0.00105435774550981	0.00916529197113611	15
0.155657193261322	0.29121530457397	1
0.0750383895076485	0.189189311435976	2
0.0474872827043919	0.127654563532062	3
0.0337441479615198	0.0859681068239587	4
